,Title,Year,Score,WatchedTotal,NrOfEpisodes,Subs
0,Angel Eyes,2014,8.0,100.0,20.0,0.0
1,Another Miss Oh,2016,10.0,100.0,18.0,10.444444444444445
2,Big,2012,4.0,100.0,16.0,17.5
3,Big Man,2014,6.0,100.0,16.0,0.0
4,Birth of a Beauty,2014,7.5,100.0,21.0,5.15
5,Black,2017,8.0,100.0,18.0,0.0
6,Boys Over Flowers,2009,8.0,100.0,25.0,81.25
7,Cain and Abel,2009,3.0,100.0,20.0,14.15
8,Chicago Typewriter,2017,10.0,100.0,16.0,13.9375
9,City Hunter,2011,7.0,100.0,20.0,0.0
10,Coffee Prince,2007,9.0,100.0,17.0,0.0
11,Cunning Single Lady,2014,8.0,100.0,16.0,8.5
12,Descendants of the Sun,2016,10.0,100.0,16.0,95.125
13,Devilish Joy,2018,6.0,100.0,16.0,1.25
14,Doctor Stranger,2014,7.5,100.0,20.0,96.6
15,Doctors,2016,3.0,100.0,20.0,3.5
16,Emergency Couple,2014,9.0,100.0,21.0,95.2
17,Encounter,2018,6.5,100.0,16.0,99.9375
18,Entertainer,2016,1.5,100.0,18.0,0.0
19,Entourage,2016,7.0,100.0,16.0,0.0
20,Ex-Girlfriend Club,2015,7.5,100.0,12.0,0.0
21,Fated to Love You,2014,6.0,100.0,20.0,0.0
22,Fight For My Way,2017,8.5,100.0,16.0,76.6875
23,Full House,2004,5.0,100.0,16.0,56.25
24,Ghost,2012,7.0,100.0,20.0,0.0
25,Goblin,2016,10.0,100.0,16.0,12.125
26,Good Doctor,2013,9.5,100.0,20.0,3.95
27,Goong,2006,10.0,100.0,24.0,1.25
28,Healer,2014,7.5,100.0,20.0,96.1
29,Heart to Heart,2015,8.0,100.0,16.0,0.0
30,Her Private Life,2019,6.5,100.0,16.0,97.1875
31,Hidden Identity,2015,7.0,100.0,16.0,0.0
32,"Hyde, Jekyll, Me",2015,7.5,100.0,20.0,68.9
33,Inspiring Generation,2014,3.0,100.0,24.0,0.0
34,"It’s Okay, That’s Love",2014,10.0,100.0,16.0,0.0
35,Item,2019,8.0,100.0,32.0,0.0
36,Jealousy Incarnate,2016,8.5,100.0,24.0,0.0
37,"Kill Me, Heal Me",2015,9.0,100.0,20.0,99.45
38,Liar Game,2014,7.0,100.0,12.0,8.166666666666666
39,Lie to Me,2011,8.0,100.0,16.0,0.0
40,Live,2018,10.0,100.0,18.0,0.0
41,Lovely Horribly,2018,7.0,100.0,32.0,93.85
42,Madame Antoine,2016,9.5,100.0,16.0,1.5625
43,"Marriage, Not Dating",2014,8.0,100.0,16.0,13.875
44,Marry Him If You Dare,2013,6.5,100.0,16.0,0.0
45,Matrimonial Chaos,2018,8.0,100.0,32.0,0.0
46,Mother,2018,10.0,100.0,16.0,99.625
47,My Wife’s Having an Affair this Week,2016,9.0,100.0,12.0,98.25
48,Obstetrics and Gynecology Doctors,2010,7.0,100.0,16.0,0.0
49,Oh My Venus,2015,6.5,100.0,16.0,29.4375
50,Panda and Hedgehog,2012,6.0,100.0,16.0,36.75
51,Pasta,2010,7.0,100.0,20.0,4.45
52,Pinocchio,2014,6.0,100.0,20.0,97.15
53,Playful Kiss,2010,4.0,100.0,16.0,78.1875
54,"Please Come Back, Mister",2016,9.0,100.0,16.0,0.0
55,Remember – War of the Son,2015,2.0,100.0,20.0,0.0
56,Reply 1988,2015,10.0,100.0,20.0,73.4
57,Reply 1994,2013,8.0,100.0,21.0,18.95
58,Reply 1997,2012,8.0,100.0,16.0,6.5625
59,Romance is a Bonus Book,2019,7.5,100.0,16.0,0.0
60,"Romantic Doctor, Teacher Kim",2016,9.0,100.0,20.0,29.95
61,Sassy Go Go,2015,7.0,100.0,12.0,18.333333333333332
62,Secret,2013,3.0,100.0,16.0,0.0
63,Secret Garden,2010,6.0,100.0,20.0,97.35
64,She Was Pretty,2015,8.0,100.0,16.0,0.0
65,Shining Inheritance,2009,4.0,100.0,28.0,12.0
66,Shopping King Louie,2016,4.0,100.0,16.0,98.9375
67,Signal,2016,9.0,100.0,16.0,0.0
68,Something in the Rain,2018,10.0,100.0,16.0,0.0
69,Stranger,2017,9.0,100.0,16.0,0.0
70,Strong Woman Do Bong Soon,2017,7.0,100.0,16.0,98.4375
71,Suspicious Partner,2017,7.5,100.0,40.0,95.95
72,Temptation of an Angel,2009,4.0,100.0,21.0,0.0
73,"That Winter, The Wind Blows",2013,7.0,100.0,16.0,0.0
74,The Great Seducer,2018,7.0,100.0,32.0,0.2
75,The Greatest Love,2011,7.0,100.0,16.0,0.0
76,The Guardians,2017,10.0,100.0,32.0,7.45
77,The Heirs,2013,7.5,100.0,20.0,0.0
78,The Innocent Man,2012,6.0,100.0,20.0,18.35
79,The K2,2016,10.0,100.0,16.0,86.9375
80,The Legend of the Blue Sea,2016,8.5,100.0,20.0,95.78947368421052
81,The Man in the Mask,2015,8.0,100.0,16.0,0.8125
82,The Master’s Sun,2013,10.0,100.0,17.0,99.11764705882354
83,The Producers,2015,9.0,100.0,12.0,100.0
84,The Secret Life of My Secretary,2019,7.0,100.0,32.0,0.0
85,The Sound of Your Heart,2016,10.0,100.0,20.0,0.0
86,Touch Your Heart,2019,6.0,100.0,16.0,100.0
87,Tunnel,2017,9.5,100.0,16.0,29.875
88,Uncontrollably Fond,2016,4.5,100.0,20.0,0.0
89,Voice,2017,5.0,100.0,16.0,4.625
90,W,2016,10.0,100.0,16.0,97.5
91,What’s Wrong With Secretary Kim,2018,10.0,100.0,16.0,99.4375
92,While You Were Sleeping,2017,10.0,100.0,32.0,100.0
93,You Who Came from the Stars,2013,8.0,100.0,21.0,0.0
94,You’re All Surrounded,2014,4.0,100.0,20.0,0.95
95,7 First Kisses,2016,0.0,50.0,8.0,0.0
96,Advertising Genius Lee Tae Baek,2013,6.0,62.5,16.0,0.0
97,Blade Man,2014,0.0,38.88888888888889,18.0,0.0
98,Flower Boy Ramen Shop,2011,0.0,12.5,16.0,28.0
99,Glamorous Temptation,2015,1.0,60.0,50.0,2.45
100,Goong S,2007,3.0,15.0,20.0,2.85
101,Love Rain,2012,0.0,30.0,20.0,13.05
102,Lucky Romance,2016,0.0,25.0,16.0,21.1875
103,Padam Padam,2011,0.0,80.0,20.0,97.75
104,The Sound of Your Heart: Reboot,2018,6.5,60.0,10.0,0.0
