,#,Title,Country,Year,Type,Score,WatchedTotal,Oppa,Noona,Total
0,1,Angel Eyes,South Korea,2014,Drama,8.0,100.0,0,0,0
1,2,Another Miss Oh,South Korea,2016,Drama,10.0,100.0,8,2,3051
2,3,Big,South Korea,2012,Drama,4.0,100.0,1,25,3228
3,4,Big Man,South Korea,2014,Drama,6.0,100.0,0,0,0
4,5,Birth of a Beauty,South Korea,2014,Drama,7.5,100.0,1,0,1527
5,6,Black,South Korea,2017,Drama,8.0,100.0,0,0,0
6,7,Boys Over Flowers,South Korea,2009,Drama,8.0,100.0,18,56,16510
7,8,Cain and Abel,South Korea,2009,Drama,3.0,100.0,28,2,6118
8,9,Chicago Typewriter,South Korea,2017,Drama,10.0,100.0,0,1,4585
9,10,City Hunter,South Korea,2011,Drama,7.0,100.0,0,0,0
10,11,Coffee Prince,South Korea,2007,Drama,9.0,100.0,28,3,14448
11,12,Cunning Single Lady,South Korea,2014,Drama,8.0,100.0,5,1,655
12,13,Descendants of the Sun,South Korea,2016,Drama,10.0,100.0,23,4,27216
13,14,Devilish Joy,South Korea,2018,Drama,6.0,100.0,0,0,116
14,15,Doctor Stranger,South Korea,2014,Drama,7.5,100.0,14,1,28776
15,16,Doctors,South Korea,2016,Drama,3.0,100.0,2,0,1573
16,17,Emergency Couple,South Korea,2014,Drama,9.0,100.0,28,7,29399
17,18,Encounter,South Korea,2018,Drama,6.5,100.0,40,19,29113
18,19,Entertainer,South Korea,2016,Drama,1.5,100.0,0,0,0
19,20,Entourage,South Korea,2016,Drama,7.0,100.0,0,0,0
20,21,Ex-Girlfriend Club,South Korea,2015,Drama,7.5,100.0,0,0,0
21,22,Fated to Love You,South Korea,2014,Drama,6.0,100.0,0,0,0
22,23,Fight For My Way,South Korea,2017,Drama,8.5,100.0,97,16,23334
23,24,Full House,South Korea,2004,Drama,5.0,100.0,47,1,12023
24,25,Ghost,South Korea,2012,Drama,7.0,100.0,0,0,15920
25,26,Goblin,South Korea,2016,Drama,10.0,100.0,55,5,27771
26,27,Good Doctor,South Korea,2013,Drama,9.5,100.0,2,0,1432
27,28,Goong,South Korea,2006,Drama,10.0,100.0,0,0,39
28,29,Healer,South Korea,2014,Drama,7.5,100.0,5,58,32164
29,30,Heart to Heart,South Korea,2015,Drama,8.0,100.0,0,0,0
30,31,Her Private Life,South Korea,2019,Drama,6.5,100.0,75,31,28613
31,32,Hidden Identity,South Korea,2015,Drama,7.0,100.0,0,0,0
32,33,"Hyde, Jekyll, Me",South Korea,2015,Drama,7.5,100.0,75,20,29420
33,34,Inspiring Generation,South Korea,2014,Drama,3.0,100.0,0,0,0
34,35,"It’s Okay, That’s Love",South Korea,2014,Drama,10.0,100.0,8,41,17080
35,36,Item,South Korea,2019,Drama,8.0,100.0,0,0,0
36,37,Jealousy Incarnate,South Korea,2016,Drama,8.5,100.0,0,0,0
